Field,Zone,Area_m2,Before_Min,Before_Mean,Before_Max,After_Min,After_Mean,After_Max,Change_Value,Growth_Rate(%)
SM01,Zone 1,6650,0.0414,0.1652,0.2163,0.0696,0.3314,0.7532,0.1662,100.6
SM01,Zone 2,7151,0.2164,0.2488,0.2812,0.1107,0.5038,0.7839,0.255,102.47
SM01,Zone 3,7149,0.2812,0.3117,0.3395,0.1221,0.6544,0.8006,0.3427,109.94
SM01,Zone 4,7128,0.3395,0.3653,0.3927,0.2329,0.7261,0.81,0.3607,98.74
SM01,Zone 5,6218,0.3927,0.4857,0.779,0.1742,0.7039,0.809,0.2182,44.92
SM02,Zone 1,12351,0.0159,0.2051,0.2418,0.0632,0.485,0.764,0.2799,136.47
SM02,Zone 2,12692,0.2418,0.2585,0.2731,0.1926,0.5878,0.7922,0.3293,127.39
SM02,Zone 3,12688,0.2731,0.2866,0.3001,0.2251,0.6287,0.7948,0.3421,119.39
SM02,Zone 4,12679,0.3001,0.3169,0.3384,0.2162,0.6692,0.806,0.3523,111.19
SM02,Zone 5,10887,0.3384,0.4402,0.7583,0.254,0.691,0.804,0.2508,56.97
SM03,Zone 1,13091,0.0159,0.2087,0.2267,0.0624,0.5684,0.7735,0.3597,172.35
SM03,Zone 2,13114,0.2267,0.2404,0.2544,0.1482,0.6011,0.7899,0.3607,150.03
SM03,Zone 3,13112,0.2544,0.2684,0.2831,0.1778,0.622,0.7918,0.3537,131.8
SM03,Zone 4,13103,0.2831,0.3026,0.3281,0.0981,0.6651,0.7985,0.3625,119.77
SM03,Zone 5,11142,0.3281,0.4518,0.7648,0.1902,0.6706,0.8063,0.2188,48.44
SM04,Zone 1,12917,0.0279,0.2158,0.2508,0.0806,0.4,0.7634,0.1842,85.35
SM04,Zone 2,12936,0.2508,0.2809,0.3097,0.1902,0.5408,0.7944,0.2599,92.53
SM04,Zone 3,12907,0.3097,0.334,0.3557,0.2375,0.6644,0.8019,0.3303,98.89
SM04,Zone 4,12827,0.3557,0.3797,0.4072,0.2947,0.7294,0.8104,0.3497,92.12
SM04,Zone 5,11172,0.4072,0.479,0.7509,0.3468,0.7296,0.8212,0.2506,52.32
SM05,Zone 1,12780,0.0118,0.2815,0.3284,0.0634,0.6024,0.8113,0.3209,113.99
SM05,Zone 2,12974,0.3284,0.3484,0.3654,0.2703,0.6909,0.8182,0.3425,98.31
